id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1489424,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 private bath,5294164,Efrat,,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,235,2023-09-22,1.92,1,111,52,
2992450,Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,11,2022-08-17,0.10,1,365,0,
3820211,Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,115,2,296,2023-08-28,2.66,10,325,7,
5651579,Rental unit in Albany · ★4.51 · Studio · 1 bed · 1 bath,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,68,3,330,2023-09-18,3.23,3,141,27,
6623339,Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,140,1,306,2023-04-02,3.02,10,334,5,
7062955,Rental unit in Albany · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,37035085,George,,SIXTH WARD,42.65901,-73.76647,Entire home/apt,67,30,7,2023-06-16,0.08,4,346,1,
7563949,Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.64484,-73.75851,Private room,190,1,42,2023-02-19,0.48,6,365,1,
8035768,Home in Albany · ★4.75 · 3 bedrooms · 3 beds · 3.5 baths,42430824,John M,,TENTH WARD,42.66088,-73.78147,Entire home/apt,459,3,54,2023-02-20,0.55,2,365,1,
8035784,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,2020-07-25,0.19,2,179,0,
8539096,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,19648678,Terra,,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,66,2022-08-16,0.69,10,364,0,
8915877,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,46312980,Robert,,SECOND WARD,42.64603,-73.75986,Entire home/apt,107,3,225,2023-09-08,2.33,1,250,3,
9005989,Rental unit in Albany · ★4.80 · 1 bedroom · 2 beds · 1 bath,17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,89,1,566,2023-09-10,6.50,1,183,48,
9501054,Rental unit in Albany · ★4.52 · 1 bedroom · 2 beds · 1 private bath,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,61,2,357,2023-09-18,3.83,3,146,44,
10768745,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,587,2023-09-17,6.30,2,337,79,
11253948,Home in Albany · ★4.94 · 3 bedrooms · 6 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,215,1,128,2023-08-29,1.43,9,353,16,
11639446,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,ELEVENTH WARD,42.67583,-73.78297,Private room,47,1,223,2023-08-13,2.50,3,360,12,
12284708,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65912,-73.78349,Private room,45,10,61,2019-10-26,0.68,4,304,0,
12799126,Rental unit in Albany · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,50,5,27,2023-09-16,0.71,2,342,7,
13083497,Home in Albany · ★4.68 · 4 bedrooms · 4 beds · 2 baths,1364123,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,169,2023-09-18,1.91,1,341,11,
13711253,Home in Albany · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,TWELFTH WARD,42.68769,-73.79664,Private room,60,2,224,2022-12-06,2.55,3,334,3,
14316232,Home in Albany · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65726,-73.78219,Private room,50,10,47,2023-05-19,0.54,4,265,3,
14489265,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,37035085,George,,SIXTH WARD,42.65863,-73.76657,Entire home/apt,55,30,6,2023-05-31,0.12,4,330,2,
14989805,Home in Albany · ★4.96 · 2 bedrooms · 5 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,255,1,80,2023-08-30,0.95,9,297,20,
15580397,Home in Albany · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,89705052,Share,,NINTH WARD,42.65651,-73.77887,Private room,57,2,37,2023-07-26,0.48,4,92,7,
16531782,Rental unit in Albany · ★4.76 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,70,1,304,2023-09-17,7.46,2,342,103,
17238066,Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,FIFTH WARD,42.67614,-73.78169,Private room,44,3,130,2023-09-11,1.66,3,364,4,
17514620,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,45,10,51,2023-08-18,0.64,4,343,6,
17552120,Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 shared baths,20738797,Aaron,,FOURTEENTH WARD,42.65729,-73.80321,Private room,62,1,31,2022-10-30,0.40,1,59,2,
18341426,Home in Albany · ★4.98 · 2 bedrooms · 3 beds · 1 bath,4259750,Peter,,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,555,1,57,2022-06-26,0.84,9,365,0,
19527043,Rental unit in Albany · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,15223767,Ed,,NINTH WARD,42.65312,-73.78161,Private room,70,1,72,2023-09-03,1.19,3,243,29,
19571496,Home in Albany · ★4.56 · 2 bedrooms · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.6585,-73.78414,Private room,50,10,25,2023-05-28,0.39,4,302,6,
19663012,Townhouse in Albany · ★4.71 · 2 bedrooms · 2 beds · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.6436,-73.75887,Private room,169,1,21,2021-08-28,0.28,6,180,0,
20138691,Home in Albany · ★4.95 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,19,2020-07-03,0.28,6,249,0,
20212108,Townhouse in Albany · ★4.60 · 1 bedroom · 7 beds · 1 private bath,39656001,Urbangem,,SECOND WARD,42.64355,-73.75712,Private room,299,2,5,2023-01-28,0.10,6,180,1,
20518708,Home in Albany · ★4.92 · 2 bedrooms · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,12,2020-03-04,0.22,6,249,0,
20519453,Home in Albany · ★4.88 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,16,2020-04-24,0.24,6,249,0,
20519722,Home in Albany · ★5.0 · 2 bedrooms · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,8,2020-08-12,0.13,6,249,0,
20519807,Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,32,2020-07-08,0.47,6,1,0,
20519885,Home in Albany · ★4.93 · 5 bedrooms · 6 beds · 2 baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,85,2023-08-14,1.18,6,330,17,
20620135,Home in Albany · ★4.93 · 2 bedrooms · 4 beds · 1 bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,196,1,55,2022-12-31,0.76,9,92,1,
20633175,Rental unit in Albany · ★4.91 · 1 bedroom · 2 beds · 1 bath,65414985,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,129,2,130,2023-05-28,1.93,2,245,9,
20671966,Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,98744672,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,85,2,39,2023-06-01,0.53,8,83,1,
21052414,Home in Albany · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,135717458,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,10,37,2023-07-31,0.58,3,326,2,
21392315,Rental unit in Albany · ★4.85 · 1 bedroom · 1 bed · 1 bath,98744672,Bela,,NINTH WARD,42.65372,-73.78244,Entire home/apt,85,3,102,2023-09-10,1.43,8,361,6,
21449583,Home in Albany · ★5.0 · 4 bedrooms · 5 beds · 1.5 baths,4259750,Peter,,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,557,4,8,2018-07-27,0.11,9,365,0,
